ID,Speaker,Type,Citation contexte (FR),Référence trad. CALQUE (EN),Référence trad. IDIOMATIC (EN),whisper_fr,xlsr_fr,whisper_en_per_seg,whisper_en_cont,xlsr_en,n_segs,segments,audio_start_s
L39,spk1,gauche,bon voilà moi je trouve que c'est très inconfortable,well there me I find it very uncomfortable,well I find it very uncomfortable,Moi je trouve que c'est très inconfortable,oemange trouve que cest très inconfortable,I find it very uncomfortable ,I find it very uncomfortable ,I think it’s very unacceptable,1,seg_0614,2014.51
L40,spk1,gauche,parce que les bons c'est peut-être trop cher pour moi,because the good ones it is maybe too expensive for me,because the good ones are maybe too expensive for me,"Enfin, parce que les bons sont peut-être trop chers pour moi.",mais parce que les bons sont êtres trop chers pour moi ,because the goods are too expensive for me. ,"Well, because the good ones are maybe too expensive for me.","It’s because the good goods are maybe too expensive for me, it’s hard goods for me.",1,seg_0628,2089-09-01 00:00:00
L41,spk1,gauche,moi je vais souvent parce que rapport qualité-prix c'est l'Extra Baule,me I go often because value for money it is Extra Baule,I often go because Extra Baule is good value for money,"Moi je vais souvent, parce que rapport qualité prix, c'est l'Extraball",vais souvent pursque le raport qualité prise cest l'extrabol,I often go because the quality-price ratio is the extra ball ,"I often go, because in terms of quality-price ratio, it's the Extra Ball",I often live in Paris because the highest quality report is the Extra Bull.,1,seg_0632,2110.49
L42,spk1,gauche,il y a des petits Turcs moi j'aime bien les petits turcs,there are some small Turkish restaurants me I really like the small Turkish restaurants,there are small Turkish restaurants that I really like,"il y a des petites turques, moi j'aime bien les petites turques.",piprail a des petites turs om moi jaime bien les petites tulants,"And then there are little turks, I like little turks.","And then there are the little turks, I like little turks.","And then, there are some small pieces that I like the little pieces...",1,seg_0637,2135.25
L43,spk1,gauche,tout ce qui est gros budget les vacances les week-ends je pouvais m'en faire mais je m'en fais plus,everything that is big budget vacations weekends I could afford them but I cannot afford them anymore,as for big budget items vacations and weekends I used to be able to afford them but I cannot anymore,"tout ce qui est gros budget, les vacances, les week-ends, je pouvais m'en faire. Je ne m'en fais plus",tous ce ques gros budget les vacances les wekens je pouvais men faire j mon fa pupque ,"the big budgets, the holidays, the weekends, I could do that. I don't do it anymore","all that is big budget, the holidays, the weekends, I could do it, I don't do it anymore, all that is big budget, the holidays, the weekends, I could do it, I don't do it anymore,","Yes, yes, there is everywhere for all the big big budget, big budgets, public growth, budgets and holidays, summers, holidays on the weekend, I could be mine, I was right, there are everywhere everywhere, everywhere, yes yes, it is there, here, everything is big Budget, Big Budget, Budgets, Holidays, Vac Vac Vac everywhere, Every every budget, Every budget, Holiday, Every weekend, every weekend, and I could do it for me, so everywhere, for everywhere, right right now, then there are the budgets for growth, Budget, DA OK, So everywhere, from there are for everything the big Budget Budget,wawaWawawawaways, Vac everywhere I was I could eat my cake, I did it for PM, I knew, I had it, I am everywhere, and everywhere, it was everywhere, everything for Europe, for everything, for budget, budget, budget, — — budgets budgets — — — Budgets for budgets – big budget — —wawavavavawawares — — holidays — every every day, every every budget — every week, every summer, every deci I was that I was, I fed fed, Iwas, I thought, I guess, I would literally, I fixed, I’ ‘ I was indeed, I mean everywhere, there, everywhere everywhere everywhere right right right everywhere, everyone, for for everywhere everywhere everything everything, there there there is the budget, for economy, budget budget, Exp, budget — budget,Est, budget prices, budget leaders, budget times, budget adults, budget time, budget for budget — expexp, every budget for medium medium medium budget, every Tuesday, everyvara USA USA USA Yes, Iev, I have for PRI PRI PRI RO RO RO everywhere, yeah, there DIRECT DIRECT DIRECT, yes Yes Yes Yes, it true, it everywhere, daw daw daw everywhere, but everywhere everywhere is thevocvocvoc flexible, formelymelymely, ISAP, I — — for ubi everywhere, I authority, for USA USA everywhere, Yes Yes yes yes yes Yes, everywhere — it is everywhere, look everywhere, every everywhere, i Yi Yi Yi, I everywhere, is everywhere everywhere — for everywhere right everywhere everywhere; for everywhere Look everywhere, y fast, for course course course everywhere, come everywhere, absolutely, for OK OK OK everywhere, okay everywhere, OK everywhere everywhere for everywhere — — go go everywhere, we I’m me me me mes me me, because if we Weekend Weekend Weekend Week Week Week Weekend Weekend weekend weekend weekend Weekend weekend Week Week weekend weekend week I I I Wi Week mine on I infidel myself myself mine mine mine Mine Mine Mine Me Me Me, mine minemine mine mine Je Je mine mine Football me, my mine mine Euro myself, which I mine mine EUR three me Euro I, I even have mine mine; it me, me, mine me, that I mine myself, mine I I, and myself myself myself, me & mine mine, me me I, mine, I, myself, my, me and mine mine € me, I myself, myself myself ironi ironi ironime of mine mine me me mine mine myself myself... me me. me me Me me, myself me, jer me me Mes me, Jer me me & I I mine, mine myself mine, my myself, I swe me, My me, je me, Je me me — me messing me, Me me me myself, Je Je Je me I mine I, my me, Ray me me my me me l me me追い me me Jet me me 50% mine mine Me, I I myself myself me me ;-) myself myself Me me I I me, chu mine mine my me myself myself I I Compl myself myself 30% myself, Me Me me Me Me I I chroni myself myself my myself myself 30 myself myself Je Je Me Me myself myself economic myself myself am mine minejim myself myself My my my my mine, myself mine myself I mine my my, mine my mine myself me I myself mine my myself I myself I, me myself mine I mine me myself me Me I myself me mine, Me I mine Me Me mine mine I myself my my myself mine Me me mine myself Me Meme myself myself; I I Me me myself I me me。 I Ilai myself myself * mine mine My I I MY myself myselfaime myself myself. Me Me my me Me myself I Me I me Me, me I me I Me myself mine me Meme me me Jaume mine mineme Me Me Je Je I mine Mine mine mineMINE mine mine Million Me Meuse Me Me meme Me Me My My My Me Me Che Me Me Jay mine mine Kill Me MeMe Me Me half Me Me batteri me Me Je me Me mine Mine Me me Je Je myself myselfme Me me My My mine mine Mi mine mine Moi mine mine ki mine mine Mini mine mine mini Me Me alone Me Me fibro myself myself Mine Mine mine Me myself Me myself",2,seg_0687 + seg_0688,2324.75
L44,spk1,gauche,après voilà moi je j'ai plus rien envie d'acheter quoi,after that well me I I no longer have any desire to buy anything,after that well I no longer have any desire to buy anything,"après, voilà, moi je n'ai plus rien envie d'acheter, quoi.",après voilà moi jai plus rien nenvie dacheterqoi ,I don't want to buy anything anymore. ,"because no, it's sure, after, I don't want to buy anything anymore. ","Well, sure sure, after what? Well, after buy, I don’t know what to buy, what... what... What... what, what what...... what...what... what do that... what what, sure, what, after... what is sure, sure... after what...... what — — what... why... what am I bought enough to buy... what else to buy? what... how... whats... what me... whatchas... whatwhat... What what...? What... What, what do I don buying... what buy......... hi hi... whatWhat... what? what what what do... what What...?... what are sure...... so what... well... whatCh... what alone buy... What do...... What What............ what Chin... whatacquisition... what whatever... what Ac... what give... what honey... what it... what – what... hmm... what Lea... what! what... anyway... what CH... what.... what... what whatwhat what... ",1,seg_0692,2391-07-01 00:00:00
L45,spk1,gauche,enfin moi à mon niveau elle veut jamais faire les boutiques,well me at my level she never wants to go shopping,well from where I stand she never wants to go shopping,"Enfin, moi, à mon niveau, elle ne veut jamais faire les boutiques",en famoi mon niveaule veut jamais faire les boutiques ,I'm not going to run any boutique,"well, at my level, she never wants to do the boutiques","Well, at my level, she never wants to make the shops",1,seg_0702,2443.27
L46,spk1,gauche,si moi je fais les courses beaucoup,yes me I do a lot of grocery shopping,yes I do a lot of grocery shopping,"moi, je fais les courses beaucoup",si moi chez les courses beaucoup ,I do the shopping a lot,if I do the shopping a lot,"even if I’m still preparing for courses, prepare myself for a lot ofcourses, even prepare myself to go to school.... — Yes, prepare yourself for a few courses, even though I am preparing myself for many courses... — Prepare yourself for some courses.... Even prepare yourself to get ready for... — Ready to prepare yourself even though you are preparing... — Preparate yourself even while preparing.... ",1,seg_0711,2499.57
L47,spk1,gauche,moi je si je considère que mes filles ont quand même,me I yes I consider that my daughters still have,yes I consider that my daughters still have,"moi, si je considère que mes filles ont quand même...",si je considère que mes files encore même,if I consider that my daughters have...,if I consider that my daughters have still ...,if I consider my daughters are still worried about it.,1,seg_0715,2544-02-01 00:00:00
L48,spk1,gauche,moi c'est ce qui m'aura marquée dans cette génération là c'est qu'ils vivent entre eux,me what will have struck me about this generation it is that they live among themselves,personnallywhat will have struck me about this generation is that they live among themselves,"moi, c'est ce qui m'a remarqué dans cette génération-là, c'est qu'ils vivent entre eux, ",moi cie ce qui m'aura marqué dans cete génération-là ces qui vivt entreuxrouve,"That's what I noticed in this generation, they live among themselves. I","that's what I noticed in this generation, is that they live among themselves ... hat's what I noticed in this generation, is that they live among themselves ... ","that’s what I noticed in this generation, that they are living between each other",1,seg_0722,2613.44
L49,spk2,gauche,vos filles elles se politisent ou pas,your daughters they get politicized or not,do your daughters get politicized or not,Ils se politisent ou pas ?,al ce quolikie ou parte,Yes. The marriage?? Your Mexican community?,Do they politicize themselves or not?,Are they collecting or not?,1,seg_0727,2635-04-01 00:00:00
L50,spk2,gauche,les verts ATTAC tout ça c'est c'est retombé,the greens ATTAC all that it has it has died down,the greens ATTAC all that has died down,"les verts, il y a eu la première déterne, les attaques, tout ça, c'est tout, mais...",levere ie lapté brunan en est à norac tout sasé set un tou eon,,"The green, there was the fear of the green, the attacks, all that, it's over ...","Yes, no, not politically committed, not at all? All this was fine.",1,seg_0736,2740.18
L51,spk2,gauche,est-ce que cette politique là vous en voyez quelque chose sur le quartier,that policy do you see something of it in the neighborhood,do you see anything of that policy in the neighborhood,"Est-ce que cette politique-là, vous envoyez quelque chose sur le quartier",tce que cete politique là vous envoyez quelque chose sur les quartiers,Do you see anything in this political arena in the neighbourhood,"is this policy there, do you see something about the neighborhood",Is this policy sending you something on the neighborhood,1,seg_0739,2709.62
L52,spk2,gauche,tout ce que vous avez dit sur le changement de population le les difficultés à maintenir la population ça donne l'impression,everything that you said about the change in population the the difficulties of maintaining the population it gives the impression,everything you said about the change in population and the difficulties of maintaining the population gives the impression,"tout ce que vous avez dit sur le changement de population, la difficulté à maintenir la population, ça donne l'impression ",tout ce que vous avez dit sur le changement de population le dificultés à à mainter la population ça done limpresion ,"everything you said about the change of population, the difficulty of the population, it gives the impression ","everything you said about the change of population, the difficulty of the population, it gives the impression ","everything you have said about the population’s change, the maintenance of the population, a municipality that is quite difficult to maintain, and which goes with it.",1,seg_0745,2740.18
L53,spk1,gauche,et nous les logements sociaux à Paris on ne voit pas beaucoup,and us the social housing in Paris we don't see it that much,"and the social housing in Paris, we don't see it that much","et nous, les logements sociaux à Paris, on ne voit pas beaucoup.",et nous les logements sociaux afchineon,"and we social housing in Paris, we don't see much.",and we social housing in Paris ... ,"and we, the social housing stores in Paris, are already social housing in Paris.",1,seg_0749,2770-01-01 00:00:00
L54,spk1,gauche,tout ce qui est collectif moi c'est vous voyez,everything that is collective me it is you see,for me everything that is collective you see,"out ce qui est collectif, moi, c'est... Vous voyez",onmais tout ce quest colectif moi cest voyez,"All that is collective, you see... ","No, but everything that is collective, you see, it's ... No, but everything that is collective, you see, it's ... No, I don't see myself at all ...","But all that is collective, me, it’s collective, see",1,seg_0757,2796-07-01 00:00:00
L55,spk1,gauche,moi c'est pas les chiens qui me dérangent,me it is not the dogs that bother me,it is not the dogs that bother me,"Moi, ce n'est pas les chiens qui me dérangent, ",moi cest par les chiens qui me dérangent ,I don't like dogs.,I'm not bothered by dogs,"My friends me, myself, who me, even even even if I donmememeespecialspecifics, even though even if me me me even although I don not very much, especially especially, even if myself, even precises me even even when I don’me me even as well me do not very special animals, even my me — I myself, myself myself, my me Me, me messing myself, Even even if almemespecialspecials species, even Although I don don not really bad a very many animals, especiallyespecialespecialespecial Especial Especial Special Myself, me personally, me, me Me Me, myself — My me, Me, Me Me MeMe, Me messing Me, even “especialespecial Specific Specific Specific My Special My Special Special My My Special Well, especially special My Special Precis My Special All Me, My Me Me — Me Mehon, me — Me me, mine, Messing Me Messing, even while even even Although me me don donespecialespecial special Special My special Special Me Special My Very Special My Especial Especial Especial My Special Me Especial Especial Me Me Special Special Special Me Me special My My My special My special special Special Special Animals Animals, especially My Me, I myself myself myself — Me myself, me myself, Me myself myself; Me Me me me, My My Me Mi Me Me Personal Me Me Mes Me MeMes Me Me mes Me Me colo Me Me even even, even me me know me me way way way, and me me special special special Me Special Me My Special Especial Special Special All My My Specific Specific Me Me My special Especial Especialespecial Especial My My Especial My Specific My special animals animals,especialespecial Me Me especially especially My My myself, My myself myself Me Meespecial Me, my Me Me myself — me Me me myself myself My My, Me My Me me Me My myself Me My, even myself myself even even where me meespecial special special specific Specific Specific Special My speci My Special special special animals Animals animals, me especially especially especially special specialespecialespecial My special especially My Special animals, special special Especial My specialespecial My My especially My special animal animals, My especially especially myself, especially myself myself me, especially Me Me I myself My myself My Me My My God Me Me mean Me Me alone, me My My me Me myself Me, also Me Meme Me Me Mine, eveneven even even my myself myself especially especiallyespecial myself myself special special myself myselfespecialespecial especially special Special special Specialespecial My Me special special",1,seg_0770,2849.24
L56,spk2,gauche,le le le nettoyage des rues dans dans Paris ça va dans votre onzième,the the the street cleaning in in Paris it is going OK in your eleventh,is the Paris street cleaning going OK in your eleventh,"Le nettoyage des rues dans Paris, ça va, dans votre oisine ?",detoyage des rues den bron ça pas pour votre onzième,"cleaning the streets in Paris, is that okay?","The cleaning of the streets in Paris, is it okay in your 11th? ","Toil on the streets, in your old age.",1,seg_0788,2900.32
L57,spk1,gauche,les expos temporaires de Beaubourg on en a fait beaucoup,the temporary exhibitions of Beaubourg we went to many of them,we went to many of the temporary exhibitions of Beaubourg,"Les expos temporaires de beaubourgs, on en a fait beaucoup.",des expos temporaires de baubourg on en a fait beaucoup,We did a lot of temporary exhibitions of Bobon.,"the temporary exhibitions of Bobours, we did a lot ...","We did a lot with Beaubourg Bour Bour BourBo Bour Bour’s temporary exports, we made a lot of it.",1,seg_0836,3128.68
L58,spk1,gauche,Palais de Tokyo on l'a fait,Palais de Tokyo we did it,we did Palais de Tokyo,"Le Palais de Tokyo, on l'a fait. ",as les touc où on l'a fait,"not Tokyo, we did it. ","The Louvre, in the museums, the Tokyo Palais, we did it,","for how did we done it, we have done it.",1,seg_0843,3157.96
L59,spk1,gauche,le Louvre si on l'a fait quand même plusieurs oui,the Louvre yes we did it several times yes,yes we did the Louvre several times yes,"Le Louvre aussi, on l'a fait quand même, plusieurs fois. ",le loupe onsia lafait quand même plusieurs rebruits,We've been to the Louvre several times.,"the Louvre too, we did it anyway, several times, ","The Louvre, if we still did it",1,seg_0844,3161.54
L60,spk2,gauche,et là le Paris monumental ça vous plaît,and now monumental Paris do you like it,and now do you like monumental Paris,"Et le Paris Monumental, ça vous plaît ?",et la le paris monumental saronclé,"And the monumental Paris, do you like it?","And there, the monumental Paris, did you like it?",And the monumental Paris? Did you pray for that?,1,seg_0851,3197.94
L61,spk1,gauche,donc je l'envie à ce niveau là moi je bon je je vraiment,so I envy her on that level me I well I I really,so I envy her on that level I really,"Donc, je l'envie à ce niveau-là. ",je l'envie àse nivola lamte ,I want to do it at this level.,So I want it at that level.,"I want me at that level where I am at this level.... my job at that mine, on that level.",1,seg_0861,3231.22
L62,spk1,gauche,c'est Lisbonne par exemple j'en rêve parce que je la connais pas,it is Lisbon for example I dream of it because I do not know it,for example I dream of Lisbon because I do not know it,"C'est Lisbonne, par exemple. J'en rêve parce que je ne la connais pas,",cest diz bones par exemple en rêve parce que je la conais pas,"No, because I don't know them. It's Lisbon, for example. I'm sure I wouldn't be disappointed.","It's Lisbon, for example. I dream of it because I don't know it, ","Lisbon, for example, is where I know them. I can save save my dreams because I don’t know her",2,seg_0867 + seg_0868,3256.82
R01,spk2,droite,à votre enfance dans euh le onzième c'était quoi une enfance de petite fille,in your childhood in well the eleventh what was it a little girl's childhood,what was a little girl's childhood like in the eleventh,"ce 11e, tu étais quoi une enfance, une petite fille ?",onzième test det quoyi une enfance petite filer,What was your childhood like?,"in the 11th, what was your childhood, your little daughter? ",The eleventh was a little girl’s child.,1,seg_0064,191.68
R02,spk1,droite,les gens disaient mais c'est où ça la Bastille,people used to say but where is that the Bastille,people used to say but where is the Bastille,"les gens me disaient, mais c'est où ça, la Bastille ? ",jeandi mi sait où ça la bastile ,"I said to myself, where is this? The Bastille? ","people would say, but where is that, the Bastille? ",This is where the Bastille is. But where is it?,1,seg_0108,329.14
R03,spk2,droite,c'est en train de changer à toute allure ces ce onzième,it is changing very fast these this eleventh,this eleventh is changing very fast,"c'est en train de changer à toute allure, ce 11e.",c'est en train de changer à dout aler smins mingen,It's changing at full speed.,because it's changing at full speed. This 11th...,"It’s changing at any moment, no.",1,seg_0130,398.08
R04,spk1,droite,c'est vrai c'est l'impression moi que ça me donne aujourd'hui,it is true it is the impression me that it gives me today,it is true that is the impression that it gives me today,c'est vrai que c'est l'impression que ça me donne aujourd'hui.,cest vrai que si cest limpresion moi que sa me done aujourd'hui,"In any case, it's true that it's the impression that it gives me today.","in any case, it's true that it's the impression that it gives me today.","Anyway? Today Today, Today, today, Today... Which Which Which Today Today Today? Today... Today Today.",1,seg_0164,486.88
R05,spk1,droite,elle est où cette école rue Keller,where is it that school rue Keller,where is that school on rue Keller,Elle est où cette école ? Rue Keller ?,alez-vous cete école rukeler,"Didn't we say it? I've just come back from a game shop. Oh, shapes ethnicity? Oh yeah, basically. So I thought it was actually a game shop. By the way, his form was Court of 우리가. But you know, it's the other screen. So I either sort by worries me in public or want to focus on what sotto think I want to share. found at the time.","where is this school, Rue Keller",Where is this Rukeler school?,2,seg_0204 + seg_0205,620.98
R06,spk1,droite,donc j'ai fait l'école privée moi dans ce quartier dans le onzième,so I attended a private school me in this neighborhood in the eleventh,so I attended a private school in this neighborhood in the eleventh,"Donc, j'ai fait l'école privée, moi, dans ce quartier, dans le 11e. ",donc j'ai fait l'école privée moi dans ce quartier dans le onzième,"So I did private school in this neighborhood, in the 11th. ","So I went to private school in this neighborhood, in the 11th. ","So, I made the private schools my own, in this quarter, in the eleventh, private schools... in this neighborhood. ",1,seg_0214,639.42
R07,spk2,droite,et s- ça vous suffit ce qu'il y a justement le tissu euh théâtre MJC cinémas,and is it enough for you speaking of what there is the fabric well theater MJC cinemas,and speaking of is the fabric of theater MJC cinemas enough for you,"Et ça vous suffit, ce qu'il y a justement, le tissu, le théâtre, M.J.C., cinéma ?",ja vous sufite quil y a justement le le tisu le théâtre à mégyscé cinéma,"And it's enough for you to have the fabric, the theater, the MGC, the cinema...","And is it enough for you that there is, precisely, the fabric, theater, Mjc, cinema?","That’s enough for you, that there is, of course, the theater, theatre, entertainment, cinema,... theater.",1,seg_0488,1538.2
R08,spk2,droite,vous êtes contente que ça existe toutes ces choses ou,are you happy that they exist all these things or,are you happy that all these things exist or,"Vous êtes contente que ça existe, toutes ces choses ?",vous êtes content que ça existe toutes ces choses,Are you happy that all these things exist?,Are you happy that all these things exist?,Are you happy that all these things exist?,1,seg_0557,1786.91
R09,spk1,droite,on est souvent au bar nous bon c'est vrai qu'on aime bien etre au bar,we are often at the bar us well it is true that we like being at the bar,we are often at the bar well it is true that we like being there,on est souvent au bar. C'est vrai qu'on aime bien être au bar.,pourqueyt souvent au bare nonion sera quon aime bien,we go back to the bar. We like being at the bar. ,we are often at the bar. we are often at the bar. It's true that we like to be at the bar,"we’re often at the bar. Well, it would be good if we liked each other so badly.",2,seg_0569 + seg_0570,1833.39
R10,spk2,droite,oui ben c'est très chaleureux un café,yes well it is very warm a cafe,yes well a cafe is very warm,"Oui, mais c'est très chaleureux.",oui c'est très chaleureux,"Yes, but it's very warm. ","Yes, but it's very warm.","Yes, it is very charming! That very very Charming! Goodbye to you.",1,seg_0583,1881.95
R11,spk2,droite,alors ça serait quoi les bons restos alors,so what would it be the good restaurants then,so what would the good restaurants be then,Alors ça serait quoi les bons restos ?,léon oresto avante,So what would it be like in the restaurant? ,So what would be the good restaurants?,"Yes, yes, it’s for the first time, but not for the second time.",1,seg_0625,2069.57
R12,spk2,droite,vous vous avez connu ça le chômage et les problèmes,you you have known that unemployment and the problems,have you known unemployment and problems,"Est-ce que vous avez connu ça, le chômage ?",vous avez conu ça le chômage,Have you ever experienced this? ,"Did you know that, unemployment? ","What did you know about this, the unemployment? ",1,seg_0717,2564.84
R13,spk2,droite,est-ce que ça a un intérêt quelconque pour vous les batailles politiques de Paris,does it have any interest for you the political battles of Paris,do you have any interest in the political battles of Paris,"est-ce que ça a un intérêt quelconque pour vous, les batailles politiques de Paris",est-ceqest-ceque ça un intérêt quelconque pour vous les batailes politiques de paris,Is the municipality interested in the Paris political battles?," is it of any interest to you, the political battles in Paris","does it have any interest for you, the political battles in Paris",1,seg_0738,2694-06-01 00:00:00
R14,spk1,droite,c'est vrai que c'est des bons repères l'école,it is true that it gives you good reference points school,it is true that school gives you good reference points,"C'est vrai que c'est les bons repères, l'école.",cest braque cest les bons repère lécole,"It's true that it's the right landmarks, the school...","It's true that it's the good marks, the school","It’s true, it’s the good meals, the school...",1,seg_0808,2967-08-01 00:00:00
R15,spk1,droite,le café La Renaissance que j'aime beaucoup moi qui est à place Voltaire,the cafe La Renaissance that I like a lot me which is place Voltaire,the cafe La Renaissance that I like a lot which is place Voltaire,"le café La Renaissance, que j'aime beaucoup, moi, qui est à Place Voltaire.",le café de la renaisance que j'aime beaucoup moins que la place voltaire,"where the café La Renaissance was, which I really like, which is in Place Voltaire.","the café La Renaissance, which I really like, which is in Place Voltaire,","the Renaissance coffee coffee coffee, which I like, in the cafe, or in the coffee coffee that I remember, in Voltaire.",1,seg_0813,2977.76
R16,spk1,droite,si on l'a fait celui-là c'est immense hein enfin le musée Guimet,yes we did it that one it is huge right well the musée Guimet,yes we did the musée Guimet it is huge,"Si, on l'a fait, salut, c'est immense, enfin, le musée Guimay",si on la fait celui-là c'est imense afin le musi guymère,"Yes, we did. It's huge.","Yes, we did it, it's huge, the Guimé Museum","If we did it to him, if we didn’t do it to himself, that’s terrible! At last, it seems immense to me. ",1,seg_0835,3121.78
R17,spk1,droite,à la fois c'est très petit Barcelone,at the same time it is very small Barcelona,at the same time Barcelona is very small,"à la fois, c'est très petit, Barcelone.",à la fois cest très petit barcelone,"at the same time, Barcelona is very small.","at the same time, it's very small, Barcelona.","Barcelona Barcelona BarcelonaBarcelona Barcelona Barcelona Barcelo Barcelona Barcelona, Barcelona Barcelona Bar Barcelona Barcelona. Barcelona Barcelona barcelo Barcelona Barcelona... Barcelona Barcelona Barca Barcelona Barcelona Bal Barcelona Barcelona Marcelo Barcelona Barcelona Sebastian Barcelona Barcelona Bas Barcelona Barcelona Barbara Barcelona Barcelona BAR Barcelona BarcelonaCB Barcelona Barcelona bar Barcelona Barcelona Barbosa Barcelona Barcelona Barba Barcelona Barcelona Bath Barcelona Barcelona Marcel Barcelona Barcelona Baro Barcelona Barcelona Bristol Barcelona Barcelona Valencia Barcelona Barcelona Bart Barcelona Barcelona Marcell Barcelona Barcelonabas Barcelona BarcelonaBC Barcelona Barcelona Ber Barcelona Barcelona Bac Barcelona Barcelona Bari Barcelona Barcelona Bilbao Barcelona Barcelona Bre Barcelona Barcelonabar Barcelona BarcelonaBar Barcelona Barcelona Barro Barcelona Barcelona Catalunya Barcelona Barcelona Barna Barcelona Barcelona BRU Barcelona Barcelona BC Barcelona Barcelona Bala Barcelona Barcelona Brussel Barcelona Barcelona Basketball Barcelona Barcelona Basel Barcelona BarcelonaBru Barcelona Barcelona Bis Barcelona Barcelo Barcelo Barcelo Barcelona BarceloBarcelona BarcelonaBarcelona Barcelo BarcelonaBarcelonaBarcelona Barcelona Barcelo, BarcelonaBarcelona, Barcelona Barcelo brunette Barcelona BarcelonaBal Barcelona Barcelona ‘ Barcelona Barcelona Brazil Barcelona Barcelona Anastasi Barcelona Barcelona very very very small Barcelona Barcelona Pablo Barcelona Barcelona Belo Barcelona Barcelona Barre Barcelona Barcelona Bruxelles Barcelona Barcelona Bár Barcelona Barcelona Cervantes Barcelona Barcelona BAL Barcelo Barcelona Bar Bar Barcelona Barcelo Bar BarcelonaBarcelona Bar Barcelona Bar Barcelo Barcelona Bal Bal Barcelona Barcelo well Barcelona BarcelonaBut Barcelona Barcelona Barbie Barcelona Barcelonabru Barcelona Barcelona But Barcelona Barcelona but Barcelona Barcelona Balo Barcelona Barcelona Bruno Barcelona Barcelona Nicolás Barcelona Barcelona Sebastián Barcelona Barcelona Carlos Barcelona Barcelona? Barcelona Barcelona Catal Barcelona Barcelona Pietro Barcelona Barcelona By Barcelona Barcelona Miquel Barcelona Barcelona – Barcelona Barcelona billet Barcelona Barcelona Barra Barcelona Barcelona Bri Barcelona Barcelona IB Barcelona Barcelona Bologna Barcelona Barcelona B Barcelona Barcelona Brun Barcelona Barcelona Bat Barcelona Barcelona Marseille Barcelona Barcelona Par Barcelona Barcelona bluetooth Barcelona Barcelona bachelor Barcelona Barcelona Bachelor Barcelona Barcelona Balti Barcelona Barcelona Cataluña Barcelona Barcelona Bluetooth Barcelona Barcelona Flores Barcelona Barcelona CBS Barcelona Barcelona Well, Barcelona BarBarcelona Barcelona BarcaBarcelona Barcelona Bar Bal BarcelonaBarcelona Barca Barcelona Barcelo... Barcelona Barcelo Barca BarcelonaBarcelona Bal Bal Bal Barcelo Barcelo Bar Bar Bar Barcelo BarceloBarcelonaBarcelonaBarcelona BarceloBarcelona Bar BarBarcelonaBarcelona Bar BarceloBarcelona Barcelo Barcelo Bal BalBarcelona Barcelona,Barcelona Barcelona Bal Barcelo Barcelona Barca Barcelo Barcelona...... BarcelonaBarcelona Barba Barba Barba Barcelona Barcelo Bal Barcelona Bar Barba BarbaBarcelona Barcelona... Bar Barcelona...Barcelona Barcelona Barba Barba Bar Barcelona Bal bal Barcelona Barcelona Alexandre Barcelona Barcelona Belle Barcelona Barcelonabut Barcelona Barcelona Picasso Barcelona Barcelona Beethoven Barcelona Barcelona Bes Barcelona Barcelona Bernardo Barcelona Barcelona Pelo Barcelona Barcelona Ves Barcelona Barcelona Bot Barcelona Barcelona Enrique Barcelona Barcelona CB Barcelona Barcelona Bour Barcelona BarcelonaBasbas Barcelona Barcelo Barba Barba Barcelo Barcelo......... Bar Bar Bal Bal Bar Barcelonabasbasbas BarcelonaBarcelona... Barcelo Barcelo Barba BarcelonaBarcelona Very very very pretty very very Pedro Barcelona BarcelonaBIS Barcelona Barcelona Catalan Barcelona Barcelona Marcos Barcelona Barcelonaレス Barcelona BarcelonaB Barcelona BarcelonaSB Barcelona Barcelona Bru Barcelona Barcelona Bos Barcelona Barcelona",1,seg_0871,3269.66
